,year,parameter,result,latitude,longitude
4976,2010,DDT,0.43,18.313489999999998,-64.88005
4978,2010,PCB,9.01,18.313489999999998,-64.88005
4979,2010,PAH,72.8,18.313489999999998,-64.88005
4980,2011,DDT,0.09,18.315379999999998,-64.88128
4982,2011,PCB,2.69,18.315379999999998,-64.88128
4983,2011,PAH,84.7,18.315379999999998,-64.88128
4984,2011,DDT,0.04,18.314989999999998,-64.87677
4986,2011,PCB,2.03,18.314989999999998,-64.87677
4987,2011,PAH,212.6,18.314989999999998,-64.87677
4990,2011,PCB,1.09,18.3159,-64.87617
4991,2011,PAH,359.1,18.3159,-64.87617
4994,2011,PCB,0.2,18.3089,-64.87443
4995,2011,PAH,2.6,18.3089,-64.87443
4996,2011,DDT,0.06,18.314770000000003,-64.87476
4998,2011,PCB,2.88,18.314770000000003,-64.87476
4999,2011,PAH,85.9,18.314770000000003,-64.87476
5000,2011,DDT,0.08,18.31672,-64.87375
5001,2011,PAH,0.16,18.31672,-64.87375
5002,2011,PCB,2.52,18.31672,-64.87375
5003,2011,PAH,96.7,18.31672,-64.87375
5004,2011,DDT,0.01,18.31389,-64.86786
5006,2011,PCB,0.57,18.31389,-64.86786
5007,2011,PAH,5.6,18.31389,-64.86786
5008,2011,DDT,0.61,18.31849,-64.86726
5010,2011,PCB,7.25,18.31849,-64.86726
5011,2011,PAH,108.8,18.31849,-64.86726
5012,2011,DDT,0.02,18.31379,-64.86827
5014,2011,PCB,0.14,18.31379,-64.86827
5015,2011,PAH,2.9,18.31379,-64.86827
5019,2011,PAH,442.8,18.31693485,-64.85515895
5020,2011,DDT,0.02,18.30513,-64.85266999999999
5021,2011,PAH,0.01,18.30513,-64.85266999999999
5022,2011,PCB,0.14,18.30513,-64.85266999999999
5023,2011,PAH,1.3,18.30513,-64.85266999999999
5026,2011,PCB,0.15,18.31038628,-64.84874647
5027,2011,PAH,1.9,18.31038628,-64.84874647
5030,2011,PCB,0.68,18.31735,-64.85635
