,Unnamed: 0,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date,State,County,City
246,1018,15.63333333,3.3,15.53333333,24.6,38.102507,-122.237976,1,2005/12/1,,,
247,1138,9.806451613,3,20.67741935,25.03225806,38.102507,-122.237976,1,2008/1/1,,,
248,1152,10.03448276,3.75862069,26.86206897,26.86206897,38.102507,-122.237976,1,2008/2/1,,,
249,1165,6.580645161,3.096774194,33.22580645,21.16129032,38.102507,-122.237976,1,2008/3/1,,,
250,1178,5.033333333,2.533333333,42.83333333,19.06666667,38.102507,-122.237976,1,2008/4/1,,,
251,1191,3.516129032,1.548387097,35.64516129,12.25806452,38.102507,-122.237976,2,2008/5/1,,,
252,1204,4.066666667,2.733333333,35.5,14.23333333,38.102507,-122.237976,0,2008/6/1,,,
253,1218,3.580645161,1.870967742,28.35483871,10.61290323,38.102507,-122.237976,0,2008/7/1,,,
254,1230,3.451612903,1.935483871,25.32258065,11.90322581,38.102507,-122.237976,0,2008/8/1,,,
255,1243,4.566666667,3.266666667,35.66666667,16.26666667,38.102507,-122.237976,2,2008/9/1,,,
256,1256,9.2,3.9,29.36666667,29.9,38.102507,-122.237976,0,2008/10/1,,,
257,1271,10.7,3.433333333,20.76666667,23.26666667,38.102507,-122.237976,1,2008/11/1,,,
258,1284,11.96666667,3.2,17.66666667,25.3,38.102507,-122.237976,1,2008/12/1,,,
259,1468,11.29032258,1.580645161,15.93548387,24.09677419,38.102507,-122.237976,1,2011/1/1,,,
260,1545,6.193548387,1.419354839,32.25806452,22.22580645,38.102507,-122.237976,3,2011/3/1,,,
261,1588,4.3,0.533333333,35.66666667,14.96666667,38.102507,-122.237976,3,2011/4/1,,,
262,1632,3.741935484,0.903225806,35.90322581,12.12903226,38.102507,-122.237976,5,2011/5/1,,,
263,1675,3.433333333,0.733333333,28.56666667,11.3,38.102507,-122.237976,4,2011/6/1,,,
264,1715,2.548387097,0.806451613,23.67741935,7.677419355,38.102507,-122.237976,2,2011/7/1,,,
265,1755,2.677419355,0.451612903,22.06451613,8.580645161,38.102507,-122.237976,5,2011/8/1,,,
