,State,County,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date
215,Kentucky,McCracken,7.258064516129032,8.483870967741936,36.61290322580645,36.32258064516129,37.058219999999984,-88.57250999999998,3,2000-10-01
216,Louisiana,East Baton Rouge,14.06451612903226,19.483870967741932,45.612903225806456,42.61290322580645,30.4840673,-91.19691749999996,0,2000-10-01
217,New Jersey,Camden,14.741935483870966,23.0,23.935483870967737,38.61290322580645,39.934559000000014,-75.125219,3,2000-10-01
218,New York,Suffolk,9.181818181818182,17.954545454545453,29.181818181818183,35.5,40.82799,-73.05754,3,2000-10-01
219,North Carolina,Mecklenburg,20.448275862068964,20.448275862068964,39.206896551724135,42.793103448275865,35.23925887500001,-80.80980662499998,0,2000-10-01
220,Pennsylvania,Allegheny,9.318181818181818,32.81818181818182,23.363636363636363,41.0,40.45439350000001,-79.97552500000005,3,2000-10-01
221,Pennsylvania,Beaver,4.064516129032258,29.35483870967742,24.41935483870968,30.612903225806452,40.74779600000002,-80.31644200000001,1,2000-10-01
222,Pennsylvania,Blair,2.6129032258064515,26.0,28.451612903225808,29.548387096774192,40.53527800000004,-78.37083299999995,1,2000-10-01
223,Pennsylvania,Lancaster,12.548387096774194,21.0,26.903225806451612,32.354838709677416,40.046667,-76.283333,3,2000-10-01
224,Pennsylvania,Lawrence,13.821428571428573,27.964285714285715,21.107142857142858,31.214285714285715,40.995848000000024,-80.34644200000002,3,2000-10-01
225,Pennsylvania,Montgomery,6.838709677419355,16.322580645161292,26.87096774193548,36.61290322580645,40.112221999999974,-75.30916699999995,3,2000-10-01
226,Pennsylvania,Northampton,10.677419354838712,21.387096774193548,27.387096774193548,29.258064516129032,40.62805600000001,-75.341111,3,2000-10-01
227,Pennsylvania,Philadelphia,12.967741935483868,17.129032258064516,16.258064516129032,43.41935483870968,40.01187210964915,-75.08461068421047,3,2000-10-01
228,Texas,El Paso,11.586206896551724,5.965517241379311,26.689655172413797,31.517241379310345,31.787431996794886,-106.44272625961544,0,2000-10-01
229,Texas,Harris,5.9444444444444455,22.722222222222218,30.83333333333333,29.66666666666667,29.74460063430059,-95.35567312715776,0,2000-10-01
230,Arizona,Maricopa,22.805555555555557,7.472222222222222,18.972222222222218,48.805555555555564,33.500068201528265,-112.01421600371599,2,2000-11-01
231,Arizona,Pima,10.233333333333333,7.1,26.86666666666667,37.03333333333333,32.202665163541695,-110.90862240000007,0,2000-11-01
232,California,Contra Costa,12.411111111111113,6.166666666666668,18.011111111111113,27.63333333333333,37.96757466666668,-122.00829433333332,1,2000-11-01
233,California,Imperial,56.66666666666666,16.033333333333335,27.63333333333333,57.86666666666667,32.676180000000016,-115.48307000000008,2,2000-11-01
234,California,Kern,17.85185185185185,8.555555555555555,23.444444444444446,46.185185185185176,35.347136233333345,-119.0342155333333,2,2000-11-01
235,California,San Diego,22.03333333333333,10.522222222222222,22.4,49.14444444444445,32.77507575925926,-117.09763657407387,2,2000-11-01
236,California,San Francisco,14.703703703703706,8.222222222222221,12.185185185185185,38.2962962962963,37.76594599999999,-122.3990439999999,1,2000-11-01
237,California,Santa Barbara,5.116666666666666,1.45,32.75,15.666666666666664,34.55068454166663,-120.23445980208359,0,2000-11-01
238,California,Solano,24.966666666666665,6.533333333333332,15.033333333333333,30.2,38.10250700000003,-122.23797599999992,1,2000-11-01
239,Louisiana,East Baton Rouge,15.6,19.866666666666667,21.433333333333334,33.333333333333336,30.4840673,-91.19691749999996,0,2000-11-01
240,New Jersey,Camden,13.333333333333336,23.73333333333333,13.166666666666664,32.63333333333333,39.934559000000014,-75.125219,3,2000-11-01
241,New York,Suffolk,8.3,24.73333333333333,19.5,26.53333333333333,40.82799,-73.05754,3,2000-11-01
242,Oklahoma,Kay,1.0,3.0,19.0,31.0,36.697186,-97.08135,1,2000-11-01
243,Pennsylvania,Philadelphia,14.75,19.05,7.55,37.75,40.01187210964914,-75.0846106842105,3,2000-11-01
244,Texas,El Paso,15.043478260869565,4.826086956521738,27.30434782608696,34.73913043478261,31.787431996794876,-106.44272625961544,0,2000-11-01
245,Arizona,Maricopa,31.322580645161292,11.06451612903226,16.758064516129032,52.967741935483865,33.515176098409874,-111.96741909468342,3,2000-12-01
246,Arizona,Pima,16.548387096774196,8.451612903225808,22.677419354838708,38.16129032258065,32.202665163541695,-110.9086224000001,3,2000-12-01
247,California,Contra Costa,13.967741935483868,6.193548387096773,13.150537634408602,28.516129032258068,37.96757466666668,-122.00829433333332,1,2000-12-01
248,California,Imperial,54.58064516129032,12.774193548387096,25.193548387096772,60.41935483870968,32.676180000000016,-115.48307000000008,3,2000-12-01
249,California,San Diego,28.380434782608692,9.206521739130435,19.25,51.8804347826087,32.776639169685986,-117.0980555803138,3,2000-12-01
250,California,San Francisco,20.225806451612907,10.516129032258064,9.419354838709678,42.774193548387096,37.76594599999999,-122.39904399999986,1,2000-12-01
251,California,Santa Barbara,5.900826446280992,2.231404958677686,27.264462809917354,17.305785123966945,34.547348625344306,-120.22931642837491,0,2000-12-01
252,California,Solano,24.0,5.310344827586206,9.586206896551724,29.517241379310345,38.10250700000003,-122.23797599999992,1,2000-12-01
