State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
California,Santa Cruz,36.974117,-122.030792,4.139681558,29.6284986,3.201445756,4.538489289,2020/6/1
California,Solano,38.102507,-122.237976,14.4837118,27.12173878,0.694136359,8.451612903,2020/6/1
California,Ventura,34.25239,-119.143182,22.33679533,38.0313843,0.055815413,16,2020/6/1
Colorado,Adams,39.838119,-104.94984,36.38389641,41.97589269,1.696845854,3.363829796,2020/6/1
Colorado,Denver,39.76194956,-104.998686,43.57758621,41.71257483,2.344274013,6.75835464,2020/6/1
Colorado,Jackson,40.437,-106.494,2.246255008,35.06399263,0,1.784427944,2020/6/1
Connecticut,Fairfield,41.118333,-73.336667,15.90721893,40.20359585,2.786292966,2.844218394,2020/6/1
Connecticut,Hartford,41.784722,-72.631667,17.10990565,37.89212516,0.703515649,3.588770194,2020/6/1
Connecticut,Litchfield,41.821342,-73.297257,5.486722172,33.9306592,0.692696063,2.023612292,2020/6/1
Connecticut,New Haven,41.3014,-72.902871,23.47945456,31.52978008,0,4.331648877,2020/6/1
Country Of Mexico,BAJA CALIFORNIA NORTE,32.522499,-117.046623,38.68872425,22.01811755,7.095362183,9.542800119,2020/6/1
Delaware,New Castle,39.739444,-75.558056,20.66224363,33.85976056,1.47409335,3.921699774,2020/6/1
District Of Columbia,District of Columbia,38.91757165,-76.98522348,23.78749206,22.68951426,1.41039442,4.659502589,2020/6/1
Florida,Hillsborough,27.93125801,-82.37117969,19.74193548,35.68793892,2.781279194,4.442655914,2020/6/1
Florida,Orange,28.596389,-81.3625,8.058724457,36.48987293,0,4.900671592,2020/6/1
Georgia,DeKalb,33.6878,-84.2905,17.15067557,30.13956055,0,4.412885894,2020/6/1
Hawaii,Honolulu,21.343952,-158.0962511,9.772777297,27.86365148,3.578853173,1.433333333,2020/6/1
Idaho,Ada,43.600699,-116.347853,22.21394761,29.80635192,0.520949833,3.177885534,2020/6/1
Illinois,Cook,41.99042809,-87.77228948,16.73669558,33.37560235,1.241914033,2.597440994,2020/6/1
Illinois,Saint Clair,38.612034,-90.160477,13.75268275,19.97221072,0.533163098,4.361210113,2020/6/1
Indiana,Marion,39.78199838,-86.13957342,18.86745027,29.84440582,0,2.862068966,2020/6/1
Iowa,Polk,41.603159,-93.643118,12.78149769,32.15420684,0.001858069,3.447973964,2020/6/1
Iowa,Scott,41.6145925,-90.5547775,13.76151661,31.61597886,0.567881369,2.832256552,2020/6/1
Kansas,Wyandotte,39.117219,-94.635605,18.41855221,28.77715623,1.843821749,5.419354839,2020/6/1
Kentucky,Boyd,38.45934,-82.64041,18.69856767,45.21385553,15.02377539,2.982413604,2020/6/1
Kentucky,Fayette,38.06503,-84.49761,15.16314192,36.15813509,16.90358986,2.233858405,2020/6/1
Kentucky,Henderson,37.835587,-87.580713,31.0755528,35.82575794,23.57093368,4.461002836,2020/6/1
Kentucky,Jefferson,38.16496621,-85.74386939,22.75811533,43.01944979,0.998381711,4.587648497,2020/6/1
Kentucky,McCracken,37.05822,-88.57251,22.92623447,49.00099927,6.603938385,2.796624075,2020/6/1
Louisiana,East Baton Rouge,30.4840673,-91.1969175,17.96607509,36.85224814,0.664095016,2.279579706,2020/6/1
Maine,Aroostook,46.696431,-68.033006,7.467609297,34.93294754,0,1.996298004,2020/6/1
Maine,Cumberland,43.660246,-70.268965,16.21286868,30.72464286,0,1.863885629,2020/6/1
Maryland,Baltimore,39.29742475,-76.441983,17.52111757,47.71057866,0,2.792388593,2020/6/1
Maryland,Garrett,39.70595,-79.012,2.448578925,39.90221905,0.074074074,1.222222222,2020/6/1
Maryland,Prince George's,39.055277,-76.878333,17.69230769,23.74001052,0,3.884615385,2020/6/1
Massachusetts,Suffolk,42.33451967,-71.078608,27.98850575,28.72413793,0,2.982299217,2020/6/1
Michigan,Kent,42.984173,-85.671339,16.92759459,37.41524985,7.824462366,5.517300675,2020/6/1
Michigan,Wayne,42.31407112,-83.14353358,20.24010312,30.00126769,2.609500691,4.361412225,2020/6/1
Minnesota,Anoka,45.13768,-93.207615,24.2297322,39.88975391,0,3.452559413,2020/6/1
Missouri,Saint Louis,38.49015,-90.70509,21.67001637,22.84734222,17.45706245,8.83454961,2020/6/1
Missouri,St. Louis City,38.65032594,-90.23961944,19.16381947,36.02110393,1.975181971,2.768866847,2020/6/1
Nevada,Clark,36.08155489,-114.9931103,20.25925926,63.02722871,0.486890966,3.874862093,2020/6/1
Nevada,Washoe,39.476787,-119.7809239,29.94418687,32.89706469,0.622441934,5.821480845,2020/6/1
New Hampshire,Hillsborough,27.93125801,-82.37117969,14.0291622,32.36514558,9.117289037,9.20531475,2020/6/1
New Hampshire,Rockingham,42.862531,-71.38014,8.637414587,33.22730248,0.572754163,2.204824351,2020/6/1
New Jersey,Camden,39.934559,-75.125219,22.40887834,28.64955211,0,5.580645161,2020/6/1
New Jersey,Essex,40.720989,-74.192892,27.60998113,28.97197505,0.31495102,6.419354839,2020/6/1
